"filepath","filename","longitude","latitude","altitude","gps_date","img_date","parcelno","house_numb","street_nam","street_typ","zipcode","common_nam"
"/Volumes/KD/GrandRiver2/G0020424.JPG","G0020424.JPG",-83.1448823,42.3709815,164.583,"2017:06:23 14:37:08","2017:06:23 10:37:37","16024636-55","9792","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020413.JPG","G0020413.JPG",-83.1460383,42.3714455,161.598,"2017:06:23 14:36:46","2017:06:23 10:37:15","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020414.JPG","G0020414.JPG",-83.1459448,42.3714062,161.708,"2017:06:23 14:36:48","2017:06:23 10:37:17","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020415.JPG","G0020415.JPG",-83.145838,42.3713664,162.441,"2017:06:23 14:36:50","2017:06:23 10:37:19","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020416.JPG","G0020416.JPG",-83.1457271,42.3713165,163.889,"2017:06:23 14:36:52","2017:06:23 10:37:21","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020417.JPG","G0020417.JPG",-83.1456142,42.3712722,164.737,"2017:06:23 14:36:54","2017:06:23 10:37:23","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020418.JPG","G0020418.JPG",-83.1455122,42.3712328,165.29,"2017:06:23 14:36:56","2017:06:23 10:37:25","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020419.JPG","G0020419.JPG",-83.1454126,42.371193,165.56,"2017:06:23 14:36:58","2017:06:23 10:37:27","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020420.JPG","G0020420.JPG",-83.1453054,42.3711502,166.141,"2017:06:23 14:37:00","2017:06:23 10:37:29","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020421.JPG","G0020421.JPG",-83.1451955,42.3711076,166.343,"2017:06:23 14:37:02","2017:06:23 10:37:31","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020422.JPG","G0020422.JPG",-83.1450975,42.3710679,165.466,"2017:06:23 14:37:04","2017:06:23 10:37:33","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020423.JPG","G0020423.JPG",-83.1449878,42.371023,164.982,"2017:06:23 14:37:06","2017:06:23 10:37:35","16024656.","9794","BRYDEN",,"48204",
"/Volumes/KD/GrandRiver2/G0020545.JPG","G0020545.JPG",-83.1355511,42.3672066,161.041,"2017:06:23 14:41:10","2017:06:23 10:41:39","16004927.","9581","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020546.JPG","G0020546.JPG",-83.1354761,42.3671773,157.652,"2017:06:23 14:41:12","2017:06:23 10:41:41","16004927.","9581","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020573.JPG","G0020573.JPG",-83.1329024,42.3661784,156.528,"2017:06:23 14:42:06","2017:06:23 10:42:35","16004916.","9405","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020574.JPG","G0020574.JPG",-83.1328152,42.3661408,154.585,"2017:06:23 14:42:08","2017:06:23 10:42:37","16004916.","9405","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020575.JPG","G0020575.JPG",-83.1327296,42.3661051,153.539,"2017:06:23 14:42:10","2017:06:23 10:42:39","16004916.","9405","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020404.JPG","G0020404.JPG",-83.1469532,42.3718238,161.603,"2017:06:23 14:36:28","2017:06:23 10:36:57","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020405.JPG","G0020405.JPG",-83.146855,42.3717824,162.629,"2017:06:23 14:36:30","2017:06:23 10:36:59","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020406.JPG","G0020406.JPG",-83.1467552,42.3717431,163.01,"2017:06:23 14:36:32","2017:06:23 10:37:01","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020407.JPG","G0020407.JPG",-83.1466523,42.3716994,162.941,"2017:06:23 14:36:34","2017:06:23 10:37:03","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020408.JPG","G0020408.JPG",-83.1465505,42.3716585,163.138,"2017:06:23 14:36:36","2017:06:23 10:37:05","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020409.JPG","G0020409.JPG",-83.1464506,42.3716154,162.715,"2017:06:23 14:36:38","2017:06:23 10:37:07","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020410.JPG","G0020410.JPG",-83.1463511,42.3715733,163.093,"2017:06:23 14:36:40","2017:06:23 10:37:09","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020411.JPG","G0020411.JPG",-83.1462409,42.3715261,163.049,"2017:06:23 14:36:42","2017:06:23 10:37:11","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020412.JPG","G0020412.JPG",-83.1461391,42.3714878,162.362,"2017:06:23 14:36:44","2017:06:23 10:37:13","16005140-54","10514","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020572.JPG","G0020572.JPG",-83.1330034,42.3662154,158.007,"2017:06:23 14:42:04","2017:06:23 10:42:33","16004917.","9413","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020547.JPG","G0020547.JPG",-83.1353977,42.3671511,157.746,"2017:06:23 14:41:14","2017:06:23 10:41:43","16004926.","9569","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020548.JPG","G0020548.JPG",-83.1352859,42.3671116,161.268,"2017:06:23 14:41:16","2017:06:23 10:41:45","16004926.","9569","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020551.JPG","G0020551.JPG",-83.1350094,42.3670142,163.315,"2017:06:23 14:41:22","2017:06:23 10:41:51","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020552.JPG","G0020552.JPG",-83.1349242,42.366983,163.727,"2017:06:23 14:41:24","2017:06:23 10:41:53","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020553.JPG","G0020553.JPG",-83.134841,42.3669458,164.155,"2017:06:23 14:41:26","2017:06:23 10:41:55","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020554.JPG","G0020554.JPG",-83.1347518,42.3669044,164.134,"2017:06:23 14:41:28","2017:06:23 10:41:57","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020555.JPG","G0020555.JPG",-83.134659,42.3668677,163.888,"2017:06:23 14:41:30","2017:06:23 10:41:59","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020556.JPG","G0020556.JPG",-83.134562,42.3668299,162.903,"2017:06:23 14:41:32","2017:06:23 10:42:01","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020557.JPG","G0020557.JPG",-83.134472,42.3667941,162.634,"2017:06:23 14:41:34","2017:06:23 10:42:03","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020558.JPG","G0020558.JPG",-83.1343871,42.3667555,162.298,"2017:06:23 14:41:36","2017:06:23 10:42:05","16004924.","9531","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020549.JPG","G0020549.JPG",-83.1351862,42.3670756,163.733,"2017:06:23 14:41:18","2017:06:23 10:41:47","16004925.","9537","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020550.JPG","G0020550.JPG",-83.1350971,42.3670445,163.509,"2017:06:23 14:41:20","2017:06:23 10:41:49","16004925.","9537","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020535.JPG","G0020535.JPG",-83.1363887,42.3675622,171.499,"2017:06:23 14:40:50","2017:06:23 10:41:19","16004935.","9635","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020536.JPG","G0020536.JPG",-83.1362843,42.367521,171.066,"2017:06:23 14:40:52","2017:06:23 10:41:21","16004935.","9635","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020566.JPG","G0020566.JPG",-83.1336442,42.3664637,161.467,"2017:06:23 14:41:52","2017:06:23 10:42:21","16004919-22","9421","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020567.JPG","G0020567.JPG",-83.1335366,42.3664247,160.686,"2017:06:23 14:41:54","2017:06:23 10:42:23","16004919-22","9421","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020568.JPG","G0020568.JPG",-83.1334267,42.3663818,161.042,"2017:06:23 14:41:56","2017:06:23 10:42:25","16004919-22","9421","GRAND RIVER","AVENUE","48204",
"/Volumes/KD/GrandRiver2/G0020569.JPG","G0020569.JPG",-83.1333122,42.3663382,160.507,"2017:06:23 14:41:58","2017:06:23 10:42:27","16004919-22","9421","GRAND RIVER","AVENUE","48204",
